,BrandName,ProductName,ProductMRP,ProductSellingPrice,ProductRating,ProductRatingCount,Category,CategoryByGender,UserSatisfactionLevel
115,HELLCAT,Boys Pack Of 3 Cotton T-shirt, 3897, 499,4.1,6500,Tshirt,Kids,Great Product
116,RARE ONES,Boys Printed Raw Edge Boxy T-shirt, 2699, 1619,4.3,0,Tshirt,Kids,Great Product
117,Googo Gaaga,Round Neck Printed T-shirt, 999, 249,4.2,2500,Tshirt,Kids,Great Product
118,DAMN GUD DG,Unisex Black Tshirts, 1000, 499,4.3,0,Tshirt,Kids,Great Product
119,RARE ONES,Boys Pockets T-shirt, 1699, 1274,4.3,0,Tshirt,Kids,Great Product
120,Marvel by Miss and Chief,Boys Printed Bio Finish T-shirt, 1499, 499,3.9,64,Tshirt,Kids,Good Choice
121,Googo Gaaga,Kids Pack Of 2 Cotton T-shirt, 1400, 349,4.6,5,Tshirt,Kids,Excellent
122,RARE ONES,Boys Printed T-shirt, 999, 699,4.6,23,Tshirt,Kids,Excellent
123,United Colors of Benetton,Boys Solid Polo T-shirt, 999, 529,4.3,181,Tshirt,Kids,Great Product
124,dostitch,Boys Printed Football Jersey,0,0,4.3,0,Tshirt,Kids,Great Product
125,RARE ONES,Boys Printed Boxy T-shirt, 1499, 1199,4.7,6,Tshirt,Kids,Excellent
126,DAMN GUD DG,Unisex Black Tshirts, 1000, 499,4.3,0,Tshirt,Kids,Great Product
127,HELLCAT,Boys Pack Of 2 Cotton T-shirt, 2598, 311,3.9,1400,Tshirt,Kids,Good Choice
128,RARE ONES,Boys Printed T-shirt, 1499, 1124,4.3,0,Tshirt,Kids,Great Product
129,DAMN GUD DG,Unisex Black Tshirts, 1000, 499,4.3,0,Tshirt,Kids,Great Product
130,United Colors of Benetton,Boys Solid Polo T-shirt, 999, 529,4.6,287,Tshirt,Kids,Excellent
131,RARE ONES,Boys Solid Round Neck T-shirt, 999, 799,4.4,21,Tshirt,Kids,Great Product
132,YK,Boys Printed Applique T-shirt, 1299, 532,2.3,9,Tshirt,Kids,Below Average
133,Marks & Spencer,Boys Typography Printed Applique T-shirt, 999, 539,4.3,0,Tshirt,Kids,Great Product
134,RARE ONES,Boys Printed Oversized T-shirt, 1699, 1359,4.3,0,Tshirt,Kids,Great Product
135,United Colors of Benetton,Boys Solid Polo T-shirt, 999, 529,4.6,261,Tshirt,Kids,Excellent
136,YUV,Kids Printed Applique T-shirt, 1799, 599,4.0,8,Tshirt,Kids,Good Choice
137,RARE ONES,Boys Typography Printed Boxy T-shirt, 1499, 1199,4.3,0,Tshirt,Kids,Great Product
138,Googo Gaaga,Boys Printed T-shirt, 1400, 249,4.4,807,Tshirt,Kids,Great Product
139,United Colors of Benetton,Boys Polo Collar T-shirt, 1299, 571,4.7,114,Tshirt,Kids,Excellent
140,RARE ONES,Boys Round Neck Cotton T-shirt, 1499, 1124,4.3,0,Tshirt,Kids,Great Product
141,Googo Gaaga,Round Neck Printed T-shirt, 999, 249,4.4,2300,Tshirt,Kids,Great Product
142,HELLCAT,Boys Pack Of 3 Cotton T-shirt, 3897, 499,4.0,330,Tshirt,Kids,Good Choice
143,RARE ONES,Boys Printed T-shirt, 999, 699,4.4,9,Tshirt,Kids,Great Product
144,H&M,Printed T-Shirt,0,0,4.7,103,Tshirt,Kids,Excellent
145,United Colors of Benetton,Boys Polo Collar T-Shirt, 999, 509,4.6,118,Tshirt,Kids,Excellent
146,RARE ONES,Boys Cotton Oversized T-shirt, 1699, 1274,4.3,0,Tshirt,Kids,Great Product
147,Marks & Spencer,Boys Pure Cotton T-shirt, 799, 503,4.7,24,Tshirt,Kids,Excellent
148,KiddoPanti,Kids High Neck Cotton T-shirt, 599, 479,4.4,325,Tshirt,Kids,Great Product
149,RARE ONES,Boys Printed T-shirt, 999, 699,4.8,8,Tshirt,Kids,Excellent
150,JUST LIKE,Kids Analogue Watch, 1199, 299,4.5,34,Watch,Kids,Great Product
151,Shocknshop,Kids Multi Function Watch, 1499, 464,4.4,521,Watch,Kids,Great Product
152,SWADESI STUFF,Kids Multi Function Watch, 2245, 394,4.5,51,Watch,Kids,Great Product
153,Shocknshop,Kids Digital Watch, 1499, 419,3.9,27,Watch,Kids,Good Choice
154,Disney,Kids Digital Automatic Watch, 499, 399,4.1,10,Watch,Kids,Great Product
155,Shocknshop,Kids LED Analogue Watch, 1249, 387,4.5,108,Watch,Kids,Great Product
156,JUST LIKE,Unisex Kids Watch, 1199, 299,4.2,13,Watch,Kids,Great Product
157,Spiky,Unisex Kids Watch, 599, 497,4.5,2500,Watch,Kids,Great Product
158,ZOOP from TITAN,Unisex Kids Analogue Watch,0,0,4.7,218,Watch,Kids,Excellent
159,Shocknshop,Kids Dial & Analogue Watch, 1499, 464,4.3,437,Watch,Kids,Great Product
160,SWADESI STUFF,Kids Automatic Watch, 1995, 334,4.4,17,Watch,Kids,Great Product
